name,plddt_binder,iptm,ptm,pae_interface,passes
P1_26_d2,46.57053333333333,0.09,0.15,29.596110019267826,False
P1_25_d2,52.648133333333334,0.09,0.15,29.576859730250483,False
P1_23_d2,61.664533333333345,0.09,0.22,29.117676300578033,False
P1_42_d2,64.76893333333332,0.09,0.19,29.779721194605013,False
P1_22_d2,63.56826666666668,0.09,0.22,29.003938728323703,False
P1_21_d1,62.05506666666667,0.09,0.22,28.9138859344894,False
P1_20_d2,55.72346666666667,0.09,0.21,29.10574354527938,False
P1_20_d1,60.638000000000005,0.09,0.22,28.860150481695566,False
P1_19_d2,57.41,0.09,0.21,29.12807283236994,False
P1_19_d1,64.98533333333334,0.09,0.23,28.935362620423895,False
P1_15_d2,60.16,0.09,0.21,28.972997687861277,False
P1_15_d1,40.111599999999996,0.09,0.17,28.755892678227358,False
P1_14_d1,52.7416,0.09,0.18,29.09489325626204,False
P1_12_d2,49.537733333333335,0.09,0.18,28.96466859344894,False
P1_12_d1,53.47253333333333,0.09,0.19,29.17952947976878,False
P1_11_d1,48.60813333333333,0.09,0.19,28.738717919075143,False
P1_10_d2,68.04466666666667,0.09,0.2,29.15888766859345,False
P1_10_d1,70.97160000000001,0.09,0.21,29.48002061657033,False
P1_42_d1,70.02853333333334,0.09,0.21,29.53209922928709,False
P1_37_d2,51.69653333333333,0.09,0.16,29.416275529865125,False
P1_55_d1,78.27973333333334,0.09,0.24,29.134481310211946,False
P1_48_d1,76.17,0.09,0.22,29.19040944123314,False
P1_54_d1,52.532133333333334,0.09,0.16,29.877294219653177,False
P1_49_d2,49.32386666666667,0.09,0.18,29.54499287090559,False
P1_4_d1,64.93026666666667,0.09,0.22,29.026480924855495,False
P1_48_d2,75.51933333333335,0.09,0.2,29.78442543352601,False
P1_4_d2,64.40973333333334,0.09,0.23,28.824315028901733,False
P1_49_d1,44.53173333333333,0.09,0.16,29.295531599229292,False
P1_50_d1,49.422,0.09,0.18,29.016667052023116,False
P1_46_d1,70.75066666666666,0.09,0.24,28.83781522157996,False
P1_45_d2,64.24786666666667,0.09,0.21,28.78020308285164,False
P1_45_d1,65.85013333333335,0.09,0.23,28.829683044315992,False
P1_55_d2,76.58559999999999,0.09,0.24,28.983669364161848,False
P1_56_d1,45.638400000000004,0.09,0.18,28.954462427745668,False
P1_63_d2,62.62933333333334,0.08,0.15,30.458026782273606,False
P1_93_d1,45.35013333333334,0.08,0.17,29.578838342967245,False
P1_90_d2,61.84413333333334,0.08,0.17,30.07296570327553,False
P1_91_d1,42.80813333333334,0.08,0.15,29.49429710982659,False
P1_63_d1,61.66573333333333,0.08,0.15,30.02960154142582,False
P1_54_d2,69.63746666666667,0.08,0.16,30.09198188824663,False
P1_90_d1,69.86133333333332,0.08,0.18,29.8576591522158,False
P1_17_d1,69.45066666666666,0.08,0.17,30.10908131021195,False
P1_93_d2,50.7464,0.08,0.18,29.52162447013487,False
P1_17_d2,70.92373333333333,0.08,0.17,30.218674566473986,False
P1_21_d2,40.473866666666666,0.08,0.14,29.80614373795761,False
P1_61_d2,54.733333333333334,0.08,0.18,29.851031984585738,False
P1_0_d2,57.87586666666666,0.08,0.16,30.090846820809244,False
P1_96_d1,67.63626666666666,0.08,0.18,30.235931021194602,False
P1_60_d2,43.76253333333334,0.08,0.15,29.677901926782273,False
P1_60_d1,48.004133333333336,0.08,0.17,29.500094990366087,False
P1_5_d2,47.6432,0.08,0.16,29.60837225433526,False
P1_5_d1,50.70146666666667,0.08,0.17,29.64024238921002,False
P1_99_d1,45.80706666666667,0.08,0.17,29.36587186897881,False
P1_64_d1,57.11693333333334,0.08,0.18,29.964669942196533,False
P1_73_d1,48.49826666666667,0.08,0.16,29.51961059730251,False
P1_51_d2,52.07866666666667,0.08,0.16,29.617211560693644,False
P1_69_d2,73.1944,0.08,0.2,29.762874951830444,False
P1_74_d2,59.5052,0.08,0.18,29.679066088631984,False
P1_70_d2,73.888,0.08,0.2,29.874547591522163,False
P1_39_d1,47.59546666666667,0.08,0.15,29.684713487475914,False
P1_38_d2,56.239200000000004,0.08,0.17,30.00312389210019,False
P1_38_d1,69.83533333333332,0.08,0.18,30.180550289017344,False
P1_79_d1,40.79893333333334,0.08,0.15,29.61727938342967,False
P1_58_d2,55.7884,0.08,0.19,29.855016570327546,False
P1_6_d1,47.71933333333334,0.08,0.17,29.639572254335256,False
P1_51_d1,44.7108,0.08,0.15,29.92265529865125,False
P1_33_d1,68.52226666666665,0.08,0.18,29.70015722543353,False
P1_69_d1,77.41493333333334,0.08,0.19,30.09906493256262,False
P1_2_d1,49.202266666666674,0.08,0.16,29.692355105973025,False
P1_29_d2,48.422666666666665,0.08,0.15,30.28192697495183,False
P1_83_d2,77.60826666666667,0.08,0.23,29.578610211946053,False
P1_84_d1,48.930400000000006,0.08,0.17,29.802146628131023,False
P1_66_d2,63.006800000000005,0.08,0.17,30.23579132947977,False
P1_86_d2,45.41786666666666,0.08,0.16,29.255272447013486,False
P1_26_d1,46.46853333333334,0.08,0.14,29.85549884393064,False
P1_33_d2,77.56253333333333,0.07,0.19,30.323003275529864,False
P1_96_d2,67.64986666666667,0.07,0.16,30.503180732177267,False
P1_44_d1,69.32346666666666,0.07,0.16,30.681110597302506,False
P1_66_d1,74.70266666666666,0.07,0.18,30.352378998073213,False
P1_44_d2,83.03493333333333,0.06,0.17,30.991474181117535,False
